================================================================================
Training Started
Device: cpu
Learning Rate: 1e-05
Epochs: 300
================================================================================

[2026-02-13 22:11:33] Epoch 201/300 | Train Loss=1.3007, Acc=0.6302, F1=0.6210 | Dev Loss=1.2798, Acc=0.6653, F1=0.6520
[2026-02-13 22:17:35] Epoch 280/300 | Train Loss=1.1788, Acc=0.6941, F1=0.6907 | Dev Loss=1.1579, Acc=0.7208, F1=0.7167BEST
[2026-02-13 22:17:40] Epoch 281/300 | Train Loss=1.1823, Acc=0.6972, F1=0.6943 | Dev Loss=1.1576, Acc=0.7153, F1=0.7102
[2026-02-13 22:17:44] Epoch 282/300 | Train Loss=1.1786, Acc=0.7003, F1=0.6983 | Dev Loss=1.1551, Acc=0.7056, F1=0.6973
[2026-02-13 22:17:49] Epoch 283/300 | Train Loss=1.1686, Acc=0.7094, F1=0.7067 | Dev Loss=1.1521, Acc=0.7181, F1=0.7108
[2026-02-13 22:17:54] Epoch 284/300 | Train Loss=1.1712, Acc=0.7066, F1=0.7033 | Dev Loss=1.1559, Acc=0.7181, F1=0.7135
[2026-02-13 22:17:58] Epoch 285/300 | Train Loss=1.1684, Acc=0.7111, F1=0.7091 | Dev Loss=1.1560, Acc=0.7167, F1=0.7125
[2026-02-13 22:18:03] Epoch 286/300 | Train Loss=1.1698, Acc=0.7017, F1=0.6989 | Dev Loss=1.1508, Acc=0.7222, F1=0.7177BEST
[2026-02-13 22:18:08] Epoch 287/300 | Train Loss=1.1686, Acc=0.7111, F1=0.7095 | Dev Loss=1.1538, Acc=0.7000, F1=0.6910
[2026-02-13 22:18:12] Epoch 288/300 | Train Loss=1.1682, Acc=0.7017, F1=0.6986 | Dev Loss=1.1461, Acc=0.7264, F1=0.7225BEST
[2026-02-13 22:18:17] Epoch 289/300 | Train Loss=1.1646, Acc=0.7031, F1=0.7011 | Dev Loss=1.1490, Acc=0.7167, F1=0.7117
[2026-02-13 22:18:21] Epoch 290/300 | Train Loss=1.1611, Acc=0.7073, F1=0.7047 | Dev Loss=1.1493, Acc=0.7278, F1=0.7259BEST
[2026-02-13 22:18:26] Epoch 291/300 | Train Loss=1.1573, Acc=0.7142, F1=0.7112 | Dev Loss=1.1435, Acc=0.7208, F1=0.7173
[2026-02-13 22:18:30] Epoch 292/300 | Train Loss=1.1571, Acc=0.7104, F1=0.7086 | Dev Loss=1.1426, Acc=0.7222, F1=0.7167
[2026-02-13 22:18:35] Epoch 293/300 | Train Loss=1.1620, Acc=0.7104, F1=0.7081 | Dev Loss=1.1441, Acc=0.7153, F1=0.7093
[2026-02-13 22:18:40] Epoch 294/300 | Train Loss=1.1725, Acc=0.7017, F1=0.6995 | Dev Loss=1.1406, Acc=0.7236, F1=0.7187
[2026-02-13 22:18:44] Epoch 295/300 | Train Loss=1.1497, Acc=0.7139, F1=0.7114 | Dev Loss=1.1369, Acc=0.7333, F1=0.7304BEST
[2026-02-13 22:18:49] Epoch 296/300 | Train Loss=1.1538, Acc=0.7281, F1=0.7257 | Dev Loss=1.1364, Acc=0.7250, F1=0.7211
[2026-02-13 22:18:53] Epoch 297/300 | Train Loss=1.1538, Acc=0.7076, F1=0.7056 | Dev Loss=1.1383, Acc=0.7250, F1=0.7206
[2026-02-13 22:18:58] Epoch 298/300 | Train Loss=1.1540, Acc=0.7108, F1=0.7080 | Dev Loss=1.1363, Acc=0.7319, F1=0.7285
[2026-02-13 22:19:03] Epoch 299/300 | Train Loss=1.1588, Acc=0.7170, F1=0.7154 | Dev Loss=1.1387, Acc=0.7167, F1=0.7128
[2026-02-13 22:19:08] Epoch 300/300 | Train Loss=1.1534, Acc=0.7160, F1=0.7138 | Dev Loss=1.1399, Acc=0.7139, F1=0.7071

================================================================================
Training Completed!
Best F1 Score: 0.7304
================================================================================
